fold,epoch,train_loss,val_loss
1,1,0.9041150958914506,3.511528730392456
1,2,0.6315299366649828,2.7681873639424643
1,3,0.5157676627761439,1.7109329303105671
1,4,0.5037460004028521,2.4857260386149087
1,5,0.41925203455121896,4.953356742858887
1,6,0.38946652537898013,3.8351113001505532
1,7,0.4077029905821148,1.1434829235076904
1,8,0.3393962935397499,1.809967279434204
1,9,0.4201428589067961,2.0783713658650718
1,10,0.3073901344286768,2.317516803741455
1,11,0.36052995198651366,2.0501885414123535
1,12,0.30518674309316435,2.2251236041386924
1,13,0.3320564920964994,2.5670230786005654
1,14,0.29114414704473396,4.02228577931722
1,15,0.21570461078693992,2.4474960962931314
1,16,0.3297178061384904,3.574644088745117
1,17,0.1981454882182573,3.6828587849934897
2,1,0.8525028643332754,0.5441645578334205
2,2,0.4835381636938711,0.4634469104440589
2,3,0.35062996397806906,0.41878899712311596
2,4,0.37419961623632375,0.37742883500299956
2,5,0.3641424769648104,0.3097468829468677
2,6,0.341981552013262,0.34158711935344493
2,7,0.2669304179863667,0.3806400063790773
2,8,0.29836577286557575,0.3109614700078964
2,9,0.2853834731137659,0.3594323799798363
2,10,0.29905680846667354,0.5411415147153955
2,11,0.3273832120607531,0.37938924714138633
2,12,0.29412432887109874,0.3166108730592226
2,13,0.2168110391794853,0.3014192579608215
2,14,0.26258018421219403,0.30834781637317255
2,15,0.19307749016391323,0.32114076433997407
2,16,0.22804067516577212,0.3155887167704733
2,17,0.1906675263809094,0.32451431641453193
2,18,0.18529483785466572,0.302070967696215
2,19,0.17827399384005488,0.35947100833842627
2,20,0.19666486335160538,0.3349877470418027
2,21,0.18283171572397386,0.3325743452498787
2,22,0.17545749642091787,0.3335519624383826
2,23,0.17478801446949715,0.32890292955072303
3,1,0.6725636240378452,0.8334382803816545
3,2,0.6042105923956773,0.5819312308963976
3,3,0.44541405614592583,0.4933979134810598
3,4,0.3903472714536772,0.3752789695011942
3,5,0.3747212968551581,0.4104765418328737
3,6,0.4176654642804714,0.5154915301423324
3,7,0.420601524471298,0.3539530845064866
3,8,0.33815157147530184,0.4727978216974359
3,9,0.2616869793945723,0.33735617179619637
3,10,0.2745559943395024,0.3539349443034122
3,11,0.24205451452825952,0.43813611080771997
3,12,0.3049641664572588,0.47845368353944073
3,13,0.25868028875567467,0.374248815210242
3,14,0.20550722869362417,0.3833664489419837
3,15,0.2326796925443364,0.3137752457668907
3,16,0.2629938544094406,0.45068238534425437
3,17,0.25604584453299917,0.479910083193528
3,18,0.2020375998470727,0.45766899585723875
3,19,0.22940868162733363,0.4509529684719287
3,20,0.22703859657831393,0.3196649033772318
3,21,0.26106733912870955,0.31308344633955704
3,22,0.23995055989643407,0.5666614952840303
3,23,0.22651070031750548,0.34682559810186686
3,24,0.1978691505009108,0.376289605466943
3,25,0.20751345075490907,0.4862491984116404
3,26,0.208232392319857,0.3352705397103962
3,27,0.15463479058792584,0.36425756153307465
3,28,0.16127429437136712,0.40042867346813804
3,29,0.14623498011214214,0.405813666707591
3,30,0.16058106935556166,0.4144410136498903
3,31,0.15475396135347722,0.3957833995944575
4,1,0.8165234547900403,0.20624205579883173
4,2,0.5554289779481613,0.26628310899985463
4,3,0.3840670268053771,0.30009665426455046
4,4,0.414402473395265,0.20061360597610473
4,5,0.33537521289558864,0.3754496737530357
4,6,0.38182737883620377,0.24624172151088713
4,7,0.31301885741589264,0.23311499670932168
4,8,0.33428701641052727,0.2501322360415208
4,9,0.3467145483950617,0.2944189059106927
4,10,0.2863937706302783,0.2247509361881959
4,11,0.27224962996059826,0.18072760340414548
4,12,0.26488051397281054,0.1945946764004858
4,13,0.25007200432731097,0.28148557857463236
4,14,0.21835421616323977,0.219284556570806
4,15,0.20858626110660122,0.23381787883607966
4,16,0.273480009923144,0.2779867768287659
4,17,0.20385435943215538,0.2517047913450944
4,18,0.18377901261716378,0.26680277240903755
4,19,0.19367634749475113,0.29212119171493933
4,20,0.18489241537459566,0.28593812271168356
4,21,0.16586171850327433,0.2476850478272689
5,1,0.7239516893709739,1.0261854196849622
5,2,0.44928735191506036,1.3343511631614284
5,3,0.33934925132849086,1.302077905755294
5,4,0.31313535821406546,1.3000999776940596
5,5,0.3075244997742921,1.154904526158383
5,6,0.26077054437064123,1.3585425000441702
5,7,0.23750705246537376,1.3703425307022898
5,8,0.23831819044792746,1.1812224965346487
5,9,0.23040098250107816,1.2824385668102063
5,10,0.18998818496471942,1.2916099799306768
5,11,0.21213949620332617,1.2934103237955195
