region,eblup_rate,se_eblup,n_sample,sensitivity,noise_sd,dp_estimate,absolute_error,privacy_loss
Agadez,0.728027251356495,0.01915999709164327,722,0.0013850415512465374,0.003355128298203178,0.7265796939929547,0.0014475573635402972,2
Diffa,0.9040283936718609,0.008908140349987832,1116,8.960573476702509e-4,0.002170611676794529,0.9054515506234394,0.0014231569515784637,2
Dosso,0.9688765257333034,0.004618487643340911,1264,7.911392405063291e-4,0.001916457777929347,0.9694934819117155,6.169561784120647e-4,2
Maradi,0.9598583557355835,0.00436675746268192,1856,5.387931034482759e-4,0.0013051738315208482,0.9588353096618194,0.0010230460737641334,2
Niamey,0.40430977212473074,0.016608291970773525,1669,5.991611743559018e-4,0.001451409605334149,0.4065967981823462,0.0022870260576154378,2
Tahoua,0.9625056078798667,0.004203302260446043,1297,7.710100231303007e-4,0.0018676967087915917,0.9637063487972394,0.0012007409173726558,2
Tillaberi,0.9567900203320646,0.005554329478201264,1691,5.913660555884093e-4,0.0014325266891204581,0.9569186048539513,1.2858452188668767e-4,2
Zinder,0.9548780535197484,0.004052021332003613,1135,8.81057268722467e-4,0.002134275446081669,0.9554682889892882,5.902354695397349e-4,2
