"region","n_sample","direct_mean","se_direct","cv_direct","psi"
"Tahoua",1669,-37666.7899860254,4047.92160218554,10.7466593348872,16385669.2974404
"Zinder",1691,-37111.7187157231,3876.26223355428,10.4448469855211,15025408.9032792
"Tillaberi",1297,-36225.6383091933,3964.80146825555,10.9447387356301,15719650.6826813
"Dosso",1264,-34052.7430511149,4911.79980398304,14.4240944014706,24125777.3144079
"Maradi",1856,-28174.887897976,4291.38462794706,15.2312394054116,18415982.0249803
"Diffa",1116,-17724.5023805559,6243.82159434801,35.2270628550769,38985308.1020465
"Agadez",722,32334.8281662954,18826.4771360711,58.2235261596197,354436241.355008
"Niamey",1135,145844.683409441,7524.75307564205,5.15942912674932,56621908.8493846
