region,n_sample,direct_mpi,se_direct,cv_direct,eblup_m1,eblup_m2,eblup_m3,eblup_m4,se_m1,se_m2,se_m3,se_m4,cv_m1,cv_m2,cv_m3,cv_m4,gamma_m1,gamma_m4,cv_gain_m4
Agadez,722,0.7235198894356933,0.018688090728336153,2.582940842567833,0.7299471655241813,0.7264785809919702,0.7237960422078241,0.728027251356495,0.018977182078964715,0.019216119172429835,0.01900480902364309,0.01915999709164327,2.599802146685102,2.6451047113035577,2.6257133108481714,2.6317692168725078,0.4172878628263147,0.7881099923426789,-0.04882837430467468
Diffa,1116,0.9043262857753884,0.008831670694058708,0.976602232289007,0.9061808196359105,0.9023101666760548,0.9060466985219965,0.9040283936718609,0.008646998846601979,0.009026270739889512,0.00929002163228589,0.008908140349987832,0.9542244394530676,1.0003512177127116,1.0253358516112236,0.9853828057109961,0.7622704109558504,0.943355850966702,-0.008780573421989124
Dosso,1264,0.9693218200645501,0.004612615397842122,0.4758600603393982,0.9673623928329712,0.9688341833349847,0.968875764776002,0.9688765257333034,0.004586639532522692,0.004686835144891633,0.00490782706089415,0.004618487643340911,0.4741387060841262,0.4837602992865405,0.5065486452774272,0.4766848530926441,0.9215984468551495,0.9838849162678617,-8.247927532458732e-4
Maradi,1856,0.9593882054302113,0.004370322742862664,0.45553225671592584,0.959089893779275,0.9592213759206536,0.9604849303364015,0.9598583557355835,0.00434486106042222,0.004453726124098965,0.004525124888663814,0.00436675746268192,0.4530191683389948,0.46430638806649943,0.4711291916968367,0.45493769331574696,0.929049673441967,0.9855095578924356,5.945634001788824e-4
Niamey,1669,0.404330416342858,0.016089883538648767,3.979389847585721,0.4029484622633201,0.40437178218078607,0.4039199222988286,0.40430977212473074,0.01680124598029203,0.016848348930840765,0.01649231864653347,0.016608291970773525,4.1695768947525345,4.166549119717811,4.0830664040215625,4.107813640885687,0.49136947638635725,0.8338221920657994,-0.1284237932999659
Tahoua,1297,0.962737591308821,0.0042074313517516575,0.43702784535833333,0.9623878950922568,0.962875115341149,0.9615019133377085,0.9625056078798667,0.004196977001897335,0.004283537174272337,0.004299186547742545,0.004203302260446043,0.4361003523942914,0.44486944423261676,0.44713239652519976,0.43670418395844507,0.9338969529224146,0.986555355871634,3.2366139988826426e-4
Tillaberi,1691,0.956144286589101,0.005567228357601382,0.5822581838000226,0.957599653919735,0.9573724533370195,0.9565901747910128,0.9567900203320646,0.005528404378257,0.005592947831799018,0.005976042478118552,0.005554329478201264,0.5773189615960728,0.584197697803423,0.6247233805662016,0.5805170790006331,0.8897373701907321,0.9766959589239168,0.0017411047993894924
Zinder,1135,0.9552118967649129,0.0040430733353796775,0.4232645498943904,0.9559257335433373,0.9552360270956828,0.9551742696336957,0.9548780535197484,0.004098627910496955,0.0041134621277163904,0.004288604074943073,0.004052021332003613,0.42876007692611634,0.43062259075623815,0.4489865578757403,0.42434961376141955,0.9386498941447077,0.9875724370100623,-0.001085063867029168
