"region","n_sample","direct_mean","eblup","se_direct","se_eblup","cv_direct","cv_eblup","gamma","cv_gain"
"Tahoua",1669,-37666.7899860254,-35055.0369450189,4047.92160218554,4526.12025333679,10.7466593348872,12.9114690720071,0,-2.16480973711997
"Zinder",1691,-37111.7187157231,-36692.3466688905,3876.26223355428,4404.56581136015,10.4448469855211,12.0040450154543,0,-1.55919802993315
"Tillaberi",1297,-36225.6383091933,-34944.4668073106,3964.80146825555,5053.95822937488,10.9447387356301,14.4628282847846,0,-3.51808954915446
"Dosso",1264,-34052.7430511149,-34014.4396680516,4911.79980398304,3573.60261877141,14.4240944014706,10.5061340232159,0,3.91796037825474
"Maradi",1856,-28174.887897976,-32956.2207577618,4291.38462794706,3940.94781155635,15.2312394054116,11.958130273867,0,3.27310913154458
"Diffa",1116,-17724.5023805559,-18158.3510168174,6243.82159434801,3847.27116438691,35.2270628550769,21.1873377754608,0,14.0397250796161
"Agadez",722,32334.8281662954,30191.1431649827,18826.4771360711,3859.4234566858,58.2235261596197,12.7832968615848,0,45.4402292980349
"Niamey",1135,145844.683409441,146207.851180587,7524.75307564205,7671.42136561318,5.15942912674932,5.24692846770445,0,-0.0874993409551266
